timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/07 10:05:44.402, 222.18 W, 99 %, 10422 MiB
2026/09/07 10:05:54.429, 222.44 W, 98 %, 10398 MiB
2026/09/07 10:06:04.430, 222.86 W, 98 %, 10392 MiB
2026/09/07 10:06:14.434, 223.61 W, 98 %, 10392 MiB
2026/09/07 10:06:24.444, 223.67 W, 98 %, 10384 MiB
2026/09/07 10:06:34.461, 224.09 W, 99 %, 10381 MiB
2026/09/07 10:06:44.474, 225.01 W, 98 %, 10385 MiB
2026/09/07 10:06:54.481, 225.31 W, 99 %, 10396 MiB
2026/09/07 10:07:04.493, 224.88 W, 96 %, 10391 MiB
2026/09/07 10:07:14.498, 223.50 W, 99 %, 10445 MiB
2026/09/07 10:07:24.506, 224.78 W, 99 %, 10384 MiB
2026/09/07 10:07:34.509, 225.08 W, 99 %, 10380 MiB
2026/09/07 10:07:44.525, 224.02 W, 98 %, 10384 MiB
2026/09/07 10:07:54.526, 225.67 W, 99 %, 10385 MiB
2026/09/07 10:08:04.541, 227.18 W, 99 %, 10385 MiB
2026/09/07 10:08:14.549, 258.91 W, 99 %, 10384 MiB
2026/09/07 10:08:24.557, 226.37 W, 99 %, 10384 MiB
2026/09/07 10:08:34.564, 226.05 W, 99 %, 10380 MiB
2026/09/07 10:08:44.574, 225.92 W, 99 %, 10384 MiB
2026/09/07 10:08:54.583, 226.18 W, 99 %, 10380 MiB
2026/09/07 10:09:04.597, 225.77 W, 99 %, 10389 MiB
2026/09/07 10:09:14.603, 226.90 W, 99 %, 10385 MiB
2026/09/07 10:09:24.605, 78.35 W, 6 %, 10399 MiB
2026/09/07 10:09:34.612, 158.79 W, 99 %, 10399 MiB
2026/09/07 10:09:44.626, 224.87 W, 98 %, 10398 MiB
2026/09/07 10:09:54.633, 226.21 W, 98 %, 10394 MiB
2026/09/07 10:10:04.646, 226.51 W, 98 %, 10399 MiB
2026/09/07 10:10:14.655, 226.95 W, 98 %, 10399 MiB
2026/09/07 10:10:24.666, 226.63 W, 98 %, 10398 MiB
2026/09/07 10:10:34.673, 227.16 W, 98 %, 10394 MiB
2026/09/07 10:10:44.677, 226.51 W, 98 %, 10398 MiB
2026/09/07 10:10:54.685, 227.64 W, 98 %, 10396 MiB
2026/09/07 10:11:04.699, 227.92 W, 99 %, 10399 MiB
2026/09/07 10:11:14.713, 226.82 W, 98 %, 10418 MiB
2026/09/07 10:11:24.727, 227.73 W, 99 %, 10409 MiB
2026/09/07 10:11:34.736, 78.43 W, 6 %, 10398 MiB
2026/09/07 10:11:44.751, 261.39 W, 98 %, 10394 MiB
2026/09/07 10:11:54.754, 226.99 W, 98 %, 10398 MiB
2026/09/07 10:12:04.763, 228.04 W, 98 %, 10395 MiB
2026/09/07 10:12:14.771, 227.90 W, 99 %, 10398 MiB
2026/09/07 10:12:24.786, 227.17 W, 98 %, 10398 MiB
2026/09/07 10:12:34.796, 227.42 W, 98 %, 10398 MiB
2026/09/07 10:12:44.805, 228.04 W, 98 %, 10394 MiB
2026/09/07 10:12:54.809, 227.51 W, 98 %, 10399 MiB
2026/09/07 10:13:04.813, 228.06 W, 98 %, 10403 MiB
2026/09/07 10:13:14.821, 227.03 W, 99 %, 10399 MiB
2026/09/07 10:13:24.825, 228.57 W, 99 %, 10395 MiB
2026/09/07 10:13:34.837, 228.27 W, 99 %, 10398 MiB
2026/09/07 10:13:44.848, 228.54 W, 99 %, 10398 MiB
2026/09/07 10:13:54.850, 79.11 W, 6 %, 10398 MiB
2026/09/07 10:14:04.865, 142.42 W, 99 %, 10394 MiB
2026/09/07 10:14:14.870, 226.79 W, 99 %, 10398 MiB
2026/09/07 10:14:24.872, 227.01 W, 99 %, 10394 MiB
2026/09/07 10:14:34.876, 226.81 W, 97 %, 10399 MiB
2026/09/07 10:14:44.886, 227.35 W, 98 %, 10398 MiB
