exp_name,model,dataset,lr,lr_backbone,layers,tf_layers,d_model,seed,amp_dtype,best_ppl,nan_recoveries,time_min,n_params_M,results_path
decay_ts_lr1e3_s0,transformer,tinystories,0.001,,12,,256,0,,15.95,,58.6,22.4,results/decay_ts_lr1e3_s0/results.json
decay_ts_lr1e3_s1,transformer,tinystories,0.001,,12,,256,1,,16.39,,6.3,22.4,results/decay_ts_lr1e3_s1/results.json
decay_ts_lr1e3_s2,transformer,tinystories,0.001,,12,,256,2,,16.24,,6.1,22.4,results/decay_ts_lr1e3_s2/results.json
decay_ts_lr1e3_s3,transformer,tinystories,0.001,,12,,256,3,,15.88,,6.1,22.5,results/decay_ts_lr1e3_s3/results.json
decay_ts_lr1e3_s4,transformer,tinystories,0.001,,12,,256,4,,14.68,,6.1,22.5,results/decay_ts_lr1e3_s4/results.json
decay_ts_lr3e4_s0,transformer,tinystories,0.0003,,12,,256,0,,42.48,,11.0,22.4,results/decay_ts_lr3e4_s0/results.json
decay_wt_lr1e3_s0,transformer,wikitext,0.001,,12,,256,0,,213.86,,8.2,22.4,results/decay_wt_lr1e3_s0/results.json
decay_wt_lr1e3_s1,transformer,wikitext,0.001,,12,,256,1,,201.19,,6.2,22.4,results/decay_wt_lr1e3_s1/results.json
decay_wt_lr1e3_s2,transformer,wikitext,0.001,,12,,256,2,,211.24,,6.2,22.4,results/decay_wt_lr1e3_s2/results.json
decay_wt_lr1e3_s3,transformer,wikitext,0.001,,12,,256,3,,262.52,,5.3,22.5,results/decay_wt_lr1e3_s3/results.json
decay_wt_lr1e3_s4,transformer,wikitext,0.001,,12,,256,4,,208.04,,5.3,22.5,results/decay_wt_lr1e3_s4/results.json
decay_wt_lr3e4_s0,transformer,wikitext,0.0003,,12,,256,0,,513.21,,10.6,22.4,results/decay_wt_lr3e4_s0/results.json
dslice_ng_10M_s0,pcn,tinystories,0.0005,,12,,256,0,,28.32,,2.1,21.0,results/dslice_ng_10M_s0/results.json
dslice_ng_10M_s1,pcn,tinystories,0.0005,,12,,256,1,,28.23,,2.1,21.0,results/dslice_ng_10M_s1/results.json
dslice_ng_2.5M_s0,pcn,tinystories,0.0005,,12,,256,0,,64.04,,0.9,21.0,results/dslice_ng_2.5M_s0/results.json
dslice_ng_2.5M_s1,pcn,tinystories,0.0005,,12,,256,1,,63.87,,0.8,21.0,results/dslice_ng_2.5M_s1/results.json
dslice_ng_20M_s0,pcn,tinystories,0.0005,,12,,256,0,,19.92,,4.0,21.0,results/dslice_ng_20M_s0/results.json
dslice_ng_20M_s1,pcn,tinystories,0.0005,,12,,256,1,,19.91,,4.0,21.0,results/dslice_ng_20M_s1/results.json
dslice_ng_5M_s0,pcn,tinystories,0.0005,,12,,256,0,,42.47,,1.4,21.0,results/dslice_ng_5M_s0/results.json
dslice_ng_5M_s1,pcn,tinystories,0.0005,,12,,256,1,,43.38,,1.2,21.0,results/dslice_ng_5M_s1/results.json
dslice_tf_10M_s0,transformer,tinystories,0.001,,12,,256,0,,133.62,,2.0,22.4,results/dslice_tf_10M_s0/results.json
dslice_tf_10M_s1,transformer,tinystories,0.001,,12,,256,1,,124.02,,1.9,22.4,results/dslice_tf_10M_s1/results.json
dslice_tf_2.5M_s0,transformer,tinystories,0.001,,12,,256,0,,402.35,,0.8,22.4,results/dslice_tf_2.5M_s0/results.json
dslice_tf_2.5M_s1,transformer,tinystories,0.001,,12,,256,1,,402.99,,0.7,22.4,results/dslice_tf_2.5M_s1/results.json
dslice_tf_20M_s0,transformer,tinystories,0.001,,12,,256,0,,33.14,,3.6,22.4,results/dslice_tf_20M_s0/results.json
dslice_tf_20M_s1,transformer,tinystories,0.001,,12,,256,1,,32.61,,3.6,22.4,results/dslice_tf_20M_s1/results.json
dslice_tf_5M_s0,transformer,tinystories,0.001,,12,,256,0,,265.38,,1.2,22.4,results/dslice_tf_5M_s0/results.json
dslice_tf_5M_s1,transformer,tinystories,0.001,,12,,256,1,,271.89,,1.1,22.4,results/dslice_tf_5M_s1/results.json
